trade_idx,id,source,coin,direction,entry_time,pnl_usd,win,macro,ema_4h,coin_wr,entry_dist,rsi_ok,ob_confirms,funding_contrarian,score,n_valid_factors
101,102,okx,LINK,LONG,2026-04-13 05:00:15.509375+00:00,-1.7328999999999333,0,1,0.0,0.0,1,1.0,,,3,5
102,103,okx,ADA,LONG,2026-04-13 05:15:21.116845+00:00,0.4093999999999549,1,1,0.0,0.0,1,1.0,,,3,5
103,105,okx,XRP,SHORT,2026-04-13 05:47:44.454269+00:00,-6.863400000000063,0,0,1.0,,1,1.0,,,3,4
104,104,okx,ADA,SHORT,2026-04-13 05:47:44.454576+00:00,-7.369199999999984,0,0,1.0,0.0,1,1.0,,,3,5
105,106,okx,LINK,SHORT,2026-04-13 07:16:48.943434+00:00,7.477200000000019,1,0,1.0,0.0,1,1.0,,,3,5
106,107,okx,ETH,LONG,2026-04-13 07:16:48.943849+00:00,-4.8299999999999725,0,1,0.0,1.0,1,1.0,,,4,5
107,108,okx,BNB,SHORT,2026-04-13 07:16:48.943936+00:00,1.9440000000000737,1,0,1.0,,1,1.0,,,3,4
108,109,okx,LDO,SHORT,2026-04-13 11:21:44.652369+00:00,-7.3921999999999,0,0,1.0,,1,1.0,,,3,4
109,110,okx,XRP,SHORT,2026-04-13 11:21:44.652714+00:00,0.11069999999990587,1,0,1.0,,1,1.0,,,3,4
110,112,okx,ARB,LONG,2026-04-13 11:21:44.652768+00:00,0.7950599999999369,1,1,1.0,,1,1.0,,,4,4
111,111,okx,ADA,SHORT,2026-04-13 11:21:44.652812+00:00,-1.6456000000000472,0,0,1.0,0.0,1,1.0,,,3,5
112,113,okx,SOL,SHORT,2026-04-13 12:34:59.629714+00:00,-7.319999999999993,0,0,1.0,,1,1.0,,,3,4
113,114,okx,ETH,SHORT,2026-04-13 13:55:34.987242+00:00,-7.926599999999945,0,0,1.0,1.0,1,1.0,,,4,5
114,115,okx,XRP,SHORT,2026-04-13 13:55:34.987431+00:00,-5.601900000000025,0,0,1.0,,1,1.0,,,3,4
115,116,okx,ETH,LONG,2026-04-13 14:31:00.705103+00:00,2.123899999999942,1,1,0.0,1.0,1,1.0,,,4,5
116,117,okx,AVAX,LONG,2026-04-13 14:31:17.881871+00:00,4.058399999999931,1,1,0.0,,1,1.0,,,3,4
117,118,okx,BNB,SHORT,2026-04-13 16:26:26.960321+00:00,-6.237000000000037,0,0,1.0,,1,1.0,,,3,4
118,119,okx,SOL,SHORT,2026-04-13 20:06:41.413653+00:00,-0.707999999999943,0,0,0.0,0.0,1,1.0,,,2,5
119,80,fortix,LDO,SHORT,2026-04-14 07:07:14.122883+00:00,-1.08594984,0,0,0.0,,1,1.0,0.0,1.0,2,4
120,79,fortix,ETH,SHORT,2026-04-14 07:07:15.457844+00:00,-1.66938554,0,0,0.0,1.0,1,1.0,0.0,1.0,3,5
121,119,fortix,DOGE,LONG,2026-04-14 09:15:17.122754+00:00,5.72616693,1,1,1.0,,1,1.0,1.0,0.0,4,4
122,122,fortix,LDO,LONG,2026-04-14 09:18:26.605432+00:00,5.54670613,1,1,1.0,,1,1.0,1.0,1.0,4,4
123,129,fortix,RAVE,SHORT,2026-04-14 10:14:07.972166+00:00,2.93179005,1,0,,,1,,1.0,0.0,1,2
124,135,fortix,RAVE,SHORT,2026-04-14 11:13:58.502265+00:00,-6.75101797,0,0,,,1,,0.0,0.0,1,2
125,134,fortix,PENDLE,SHORT,2026-04-14 11:13:59.735955+00:00,-0.9342000000000125,0,0,0.0,1.0,1,1.0,1.0,0.0,3,5
126,120,okx,PENDLE,SHORT,2026-04-14 11:13:59.740274+00:00,-0.9342000000000125,0,0,0.0,1.0,1,1.0,,,3,5
127,131,fortix,LDO,SHORT,2026-04-14 11:21:18.363280+00:00,-8.82679122,0,0,0.0,0.0,1,1.0,0.0,1.0,2,5
128,169,fortix,TAO,SHORT,2026-04-14 14:06:59.327226+00:00,3.5970847,1,0,1.0,1.0,1,1.0,1.0,0.0,4,5
129,167,fortix,ARB,LONG,2026-04-14 14:07:00.824552+00:00,-6.18442919,0,1,1.0,,1,1.0,1.0,0.0,4,4
130,166,fortix,OP,SHORT,2026-04-14 14:07:01.893212+00:00,-9.064695,0,0,0.0,1.0,1,1.0,1.0,1.0,3,5
131,165,fortix,PENDLE,SHORT,2026-04-14 14:07:02.913579+00:00,4.72485312,1,0,0.0,1.0,1,1.0,1.0,1.0,3,5
132,164,fortix,WIF,LONG,2026-04-14 14:07:03.977493+00:00,-8.87555541,0,1,1.0,,1,1.0,1.0,0.0,4,4
133,158,fortix,XRP,LONG,2026-04-14 14:07:05.030416+00:00,-8.9929571,0,1,1.0,0.0,1,1.0,1.0,0.0,4,5
134,163,fortix,LDO,LONG,2026-04-14 14:28:38.409990+00:00,4.01256528,1,1,1.0,0.0,1,1.0,0.0,0.0,4,5
135,159,fortix,SOL,LONG,2026-04-14 14:39:05.055607+00:00,-8.8671375,0,1,1.0,0.0,1,1.0,0.0,0.0,4,5
136,161,fortix,BTC,LONG,2026-04-14 15:01:39.730361+00:00,4.5599035,1,1,1.0,,1,1.0,0.0,0.0,4,4
137,179,fortix,RAVE,LONG,2026-04-14 15:08:01.616156+00:00,3.48108739,1,1,,,1,,1.0,1.0,2,2
138,177,fortix,COAI,SHORT,2026-04-14 15:08:02.938943+00:00,4.02469067,1,0,,,1,,0.0,1.0,1,2
139,176,fortix,TAO,SHORT,2026-04-14 15:08:06.245798+00:00,-0.02199999999997999,0,0,1.0,1.0,1,1.0,1.0,1.0,4,5
