trade_id,coin,direction,leverage,entry_price,sl,tp,margin,fill_time_utc,close_time_utc,hold_minutes,exit_reason,roi_pct,pnl,peak_roi,peak_time_utc,peak_minutes,worst_roi,tp_target_roi,tp_distance_reached_pct,would_hit_tp_after_sl,category,category_desc,trailing_roi,trailing_pnl,trailing_saved
82,ADA,LONG,8,0.2529,0.2505,0.2578,355.17,2026-04-16 15:53,2026-04-16 16:18,26,NEWS_REACTION,5.7,20.22,7.91,2026-04-16 16:00,7,-16.45,15.5,51.0,False,F,TIME_EXIT OK (profit),,,
83,SOL,SHORT,8,84.4,84.8246,83.5508,350.26,2026-04-16 13:58,2026-04-16 16:18,140,NEWS_REACTION,1.7,5.87,5.69,2026-04-16 13:00,-59,-25.88,8.05,70.7,False,F,TIME_EXIT OK (profit),,,
84,AVAX,LONG,8,9.586,9.4896,9.7788,354.68,2026-04-16 15:53,2026-04-16 16:18,26,NEWS_REACTION,1.4,5.03,5.34,2026-04-16 16:00,7,-16.36,16.09,33.2,False,F,TIME_EXIT OK (profit),,,
85,LINK,LONG,8,9.418,9.3319,9.5901,353.17,2026-04-16 15:53,2026-04-16 16:18,26,NEWS_REACTION,2.7,9.6,6.12,2026-04-16 16:00,7,-16.82,14.62,41.8,False,F,TIME_EXIT OK (profit),,,
86,BNB,LONG,8,624.4,621.4761,630.2478,351.22,2026-04-16 15:53,2026-04-16 16:19,26,NEWS_REACTION,3.3,11.7,4.6,2026-04-16 16:00,7,-7.38,7.49,61.4,False,F,TIME_EXIT OK (profit),,,
87,PENDLE,LONG,7,1.2129,1.1944,1.2499,361.62,2026-04-16 15:54,2026-04-16 16:19,25,NEWS_REACTION,0.8,2.92,9.87,2026-04-16 17:00,66,-24.18,21.35,46.2,False,F,TIME_EXIT OK (profit),,,
88,POL,LONG,8,0.0885,0.0878,0.09,352.94,2026-04-16 15:54,2026-04-16 16:19,25,NEWS_REACTION,0.8,2.87,7.23,2026-04-16 17:00,66,-12.66,13.56,53.3,False,F,TIME_EXIT OK (profit),,,
89,ETH,LONG,8,2338.32,2322.566,2369.8281,350.75,2026-04-16 15:54,2026-04-16 16:19,25,NEWS_REACTION,0.7,2.32,3.94,2026-04-16 15:00,-54,-10.2,10.78,36.6,False,F,TIME_EXIT OK (profit),,,
90,SOL,LONG,8,86.62,85.9604,87.9393,352.98,2026-04-16 15:53,2026-04-16 16:19,26,TARGET_HIT,1.7,2.52,4.71,2026-04-16 15:00,-53,-12.28,12.18,38.7,False,A,WINNER (TP hit),,,
91,AVAX,LONG,8,9.53,9.4276,9.7348,349.04,2026-04-16 17:46,2026-04-16 18:47,62,TARGET_HIT,17.7,58.72,28.54,2026-04-16 19:00,74,-10.07,17.19,100,False,A,WINNER (TP hit),,,
92,LTC,LONG,8,56.24,55.8937,56.9326,350.09,2026-04-16 20:19,2026-04-16 20:40,21,STOP_LOSS,-5.0,-19.52,0,,0,0,9.85,-10140.0,False,C,WRONG DIRECTION (no fix),,,
93,TON,LONG,8,1.4143,1.4028,1.4372,350.92,2026-04-16 21:31,2026-04-17 00:15,164,TARGET_HIT,13.0,42.2,0,,0,0,12.95,-7712.3,False,A,WINNER (TP hit),,,
94,ETH,LONG,8,2349.21,2329.8361,2387.9578,352.38,2026-04-16 20:32,2026-04-17 01:25,293,STOP_LOSS,-6.5,-26.26,5.27,2026-04-16 20:00,-33,-8.27,13.2,39.9,False,B,COULD-HAVE-WON (trailing would save),2.63,9.28,35.54
95,BNB,LONG,8,634.4,630.7739,641.6522,356.85,2026-04-16 23:13,2026-04-17 01:32,139,STOP_LOSS,-4.5,-19.62,2.84,2026-04-16 23:00,-13,-7.84,9.15,31.0,False,E,TOO WIDE TP (tighter TP captures),,,
96,LDO,LONG,7,0.4441,0.4307,0.471,356.99,2026-04-16 23:13,2026-04-17 01:40,147,STOP_LOSS,-21.1,-77.75,2.68,2026-04-16 23:00,-13,-28.84,42.4,6.3,False,E,TOO WIDE TP (tighter TP captures),,,
97,ADA,LONG,8,0.2587,0.2557,0.2646,357.46,2026-04-16 23:13,2026-04-17 01:42,149,STOP_LOSS,-9.3,-36.51,4.95,2026-04-16 23:00,-13,-14.53,18.25,27.1,False,E,TOO WIDE TP (tighter TP captures),,,
98,SOL,LONG,8,89.0,88.0357,90.9285,350.44,2026-04-16 21:22,2026-04-17 01:49,267,STOP_LOSS,-8.6,-32.55,6.92,2026-04-16 21:00,-22,-13.03,17.33,39.9,False,B,COULD-HAVE-WON (trailing would save),3.46,12.13,44.68
99,AVAX,LONG,8,9.71,9.586,9.958,349.56,2026-04-16 20:22,2026-04-17 02:18,357,STOP_LOSS,-10.8,-40.08,14.83,2026-04-16 20:00,-22,-14.01,20.43,72.6,False,B,COULD-HAVE-WON (trailing would save),7.42,25.92,66.0
