trade_id,coin,direction,filled_at,fill_price,pnl_usd,pnl_pct,exit_reason,is_win,profi_conf,macro,ema_4h,ob,funding,rsi,coin_wr,entry_dist,checklist_score,checklist_pct,rsi_value,btc_7d_pct
46726ef5,BNB,SHORT,2026-04-16T05:36:05.860437+00:00,624.36,12.419999999999959,0.004420526619258106,TIME_EXIT,1,0.65,0,0,1,1,1,0,1,4,0.5714285714285714,67.6384839650148,0.057188662233742756
82e1b6f6,ETH,SHORT,2026-04-16T05:36:07.042906+00:00,2353.01,15.37200000000048,0.005444090760345429,TIME_EXIT,1,0.66,0,0,1,0,1,0,1,3,0.42857142857142855,64.80553567167748,0.057188662233742756
b2885b6f,ADA,LONG,2026-04-16T05:36:08.680608+00:00,0.2497,-15.843800000000142,-0.0056067280736884755,TIME_EXIT,0,0.65,1,1,0,0,1,0,1,4,0.5714285714285714,73.6842105263159,0.057188662233742756
22b5b3ce,LINK,LONG,2026-04-16T05:36:10.347128+00:00,9.312,-19.6943109,-0.005906357388316121,STOP_LOSS,0,0.68,1,1,0,0,1,0,1,4,0.5714285714285714,70.58823529411774,0.057188662233742756
c9b4ccf7,AVAX,LONG,2026-04-16T05:36:11.658220+00:00,9.487,-9.504000000000008,-0.003373036787182463,TIME_EXIT,0,0.73,1,1,0,0,1,1,1,5,0.7142857142857143,61.53846153846165,0.057188662233742756
48176ddb,BTC,LONG,2026-04-16T05:36:12.644802+00:00,74998.5,-16.5035805,-0.004693427201877371,STOP_LOSS,0,0.72,1,1,0,1,0,0,1,4,0.5714285714285714,75.61397514201512,0.057188662233742756
143a359f,LDO,LONG,2026-04-16T06:47:17.619933+00:00,0.3861,84.5816418,0.03588143525741024,TARGET_HIT,1,0.66,1,1,1,0,1,0,1,5,0.7142857142857143,63.320463320463325,0.05649818447614476
f2e58941,POL,SHORT,2026-04-16T08:43:29.498318+00:00,0.0869,-20.81101077,-0.006328385686342135,STOP_LOSS,0,0.66,0,0,1,1,1,1,1,5,0.7142857142857143,72.97297297297274,0.04811822565516603
0b0e84e2,PENDLE,SHORT,2026-04-16T08:47:34.936910+00:00,1.1622,-31.50576924,-0.010497332644983834,STOP_LOSS,0,0.72,0,0,1,1,1,1,0,4,0.5714285714285714,77.5700934579439,0.04811822565516603
83d17d75,UNI,SHORT,2026-04-16T09:13:57.896878+00:00,3.264,-16.200225,-0.005514705882353014,STOP_LOSS,0,0.66,0,0,1,1,1,0,1,4,0.5714285714285714,63.04347826086933,0.042767228426827536
f5f0e9e8,ETH,LONG,2026-04-16T10:04:24.116806+00:00,2335.0,-6.9959999999999125,-0.0024967880085652793,PROFI_EXIT,0,0.68,1,1,0,1,1,0,1,5,0.7142857142857143,21.27939793038574,0.04260243039601443
1bb9c534,XRP,SHORT,2026-04-16T10:13:27.486423+00:00,1.4098,-20.02062992,-0.006028796368536899,STOP_LOSS,0,0.65,0,0,1,1,1,0,1,4,0.5714285714285714,67.89473684210526,0.04260243039601443
5fd35ba6,BNB,SHORT,2026-04-16T10:13:28.471797+00:00,619.4,-12.5217225,-0.003389830508474613,STOP_LOSS,0,0.66,0,0,1,0,1,0,1,3,0.42857142857142855,37.21244925575108,0.04260243039601443
d538e1d2,CRV,SHORT,2026-04-16T10:13:29.474229+00:00,0.222,-18.158938,-0.0054029716343989495,STOP_LOSS,0,0.67,0,0,1,1,1,0,0,3,0.42857142857142855,41.89189189189189,0.04260243039601443
252443e7,LDO,SHORT,2026-04-16T10:13:30.458181+00:00,0.3884,-37.43183268,-0.014160659114315008,STOP_LOSS,0,0.68,0,0,1,1,1,0,0,3,0.42857142857142855,74.09326424870473,0.04260243039601443
726712a2,LINK,SHORT,2026-04-16T10:13:31.473095+00:00,9.229,-20.96285805,-0.0063928919709612154,STOP_LOSS,0,0.72,0,0,1,1,1,0,1,4,0.5714285714285714,39.13043478260886,0.04260243039601443
df875b00,BTC,SHORT,2026-04-16T11:15:06.549015+00:00,74290.0,-13.80869175,-0.004139184277830125,STOP_LOSS,0,0.72,0,0,1,0,1,0,1,3,0.42857142857142855,45.61375162226783,0.04813228134240572
2784cea6,AVAX,SHORT,2026-04-16T11:30:46.047521+00:00,9.42,-22.60257615,-0.0073248407643313,STOP_LOSS,0,0.68,0,0,1,0,1,1,1,4,0.5714285714285714,46.2962962962964,0.04813228134240572
394e06b5,ADA,SHORT,2026-04-16T12:06:20.009461+00:00,0.2496,-23.42384417,-0.007612179487179539,STOP_LOSS,0,0.66,0,0,1,1,1,0,1,4,0.5714285714285714,62.80991735537195,0.046919014590844466
aac3a957,PENDLE,LONG,2026-04-16T12:13:35.278799+00:00,1.1669,56.7284478,0.021167195132402044,TARGET_HIT,1,0.67,1,1,0,0,0,1,0,3,0.42857142857142855,85.18518518518518,0.046919014590844466
707e8db0,POL,SHORT,2026-04-16T13:58:43.468337+00:00,0.0875,2.263199999999908,0.0009142857142856771,NEWS_REACTION,1,0.65,0,0,1,0,1,1,1,4,0.5714285714285714,80.48780487804866,0.04217466799657302
d4b62e8a,CRV,SHORT,2026-04-16T13:58:44.515660+00:00,0.2253,6.200000000000005,0.0022192632046160693,NEWS_REACTION,1,0.65,0,0,1,1,1,0,1,4,0.5714285714285714,67.39130434782611,0.04217466799657302
e7b3b0f6,LDO,SHORT,2026-04-16T13:58:45.565220+00:00,0.3968,-8.678600000000076,-0.003528225806451644,NEWS_REACTION,0,0.66,0,0,1,1,1,0,0,3,0.42857142857142855,79.02439024390245,0.04217466799657302
a7fe3ddc,PENDLE,SHORT,2026-04-16T13:58:46.616323+00:00,1.1664,0.6282000000003957,0.000257201646090697,NEWS_REACTION,1,0.67,0,0,1,1,1,1,1,5,0.7142857142857143,73.71794871794864,0.04217466799657302
d25de089,ETH,SHORT,2026-04-16T13:58:48.777122+00:00,2303.53,-0.6479999999999564,-0.00023442282062745593,NEWS_REACTION,0,0.75,0,0,1,0,0,0,1,2,0.2857142857142857,19.97209951174169,0.04217466799657302
61ca1db8,CRV,SHORT,2026-04-16T14:36:10.093974+00:00,0.2242,-18.0832484,-0.005335704757670106,STOP_LOSS,0,0.66,0,0,1,1,1,0,0,3,0.42857142857142855,60.0,0.04006568273786611
df3d9e2a,BNB,SHORT,2026-04-16T14:36:11.161892+00:00,617.5,-12.5138025,-0.0033986081890273875,STOP_LOSS,0,0.68,0,0,1,1,1,0,1,4,0.5714285714285714,39.626666666666765,0.04006568273786611
b22b9b71,UNI,SHORT,2026-04-16T14:36:12.320428+00:00,3.264,-14.23824085,-0.003964623360780696,STOP_LOSS,0,0.7,0,0,1,1,1,0,0,3,0.42857142857142855,77.2058823529411,0.04006568273786611
6a982722,BTC,SHORT,2026-04-16T14:36:13.363656+00:00,73921.9,-17.46564189,-0.0051148507886692165,STOP_LOSS,0,0.72,0,0,0,0,1,0,1,2,0.2857142857142857,33.86838988605123,0.04006568273786611
3ab46ab1,AVAX,SHORT,2026-04-16T14:38:19.775230+00:00,9.35,-28.12404465,-0.009304812834224572,STOP_LOSS,0,0.66,0,0,1,1,1,1,0,4,0.5714285714285714,50.0,0.04006568273786611
daa935d6,LINK,SHORT,2026-04-16T15:08:42.330344+00:00,9.277,-12.642000000000479,-0.004527325644066141,PROFI_EXIT,0,0.65,0,0,1,1,1,0,0,3,0.42857142857142855,70.90909090909092,0.03541903959122831
86cda4fa,ADA,LONG,2026-04-16T15:53:01.895128+00:00,0.2529,20.222999999999644,0.007117437722419803,NEWS_REACTION,1,0.65,1,1,0,0,1,0,1,4,0.5714285714285714,71.2707182320442,0.03541903959122831
bd2356fc,SOL,LONG,2026-04-16T15:53:02.953504+00:00,86.62,5.86799999999976,0.0020780420226274832,NEWS_REACTION,1,0.67,1,1,0,0,1,0,1,4,0.5714285714285714,70.92198581560301,0.03541903959122831
83cf2bab,AVAX,LONG,2026-04-16T15:53:04.039778+00:00,9.586,5.03199999999984,0.001773419570206495,NEWS_REACTION,1,0.68,1,1,0,0,1,1,1,5,0.7142857142857143,64.38356164383566,0.03541903959122831
cd7981c9,LINK,LONG,2026-04-16T15:53:05.091876+00:00,9.418,9.600000000000007,0.0033977489912932713,NEWS_REACTION,1,0.7,1,1,0,0,1,0,1,4,0.5714285714285714,70.90909090909092,0.03541903959122831
b1b7804b,BNB,LONG,2026-04-16T15:53:06.239469+00:00,624.4,11.700000000000102,0.004163997437540075,NEWS_REACTION,1,0.72,1,1,0,0,1,0,1,4,0.5714285714285714,55.38001707941925,0.03541903959122831
06cf3428,PENDLE,LONG,2026-04-16T15:54:03.272464+00:00,1.2129,2.9217999999996787,0.00115425838898495,NEWS_REACTION,1,0.68,1,1,1,0,0,1,1,5,0.7142857142857143,79.7927461139896,0.03541903959122831
d11bc66f,POL,LONG,2026-04-16T15:54:17.223913+00:00,0.08854,2.8701000000002153,0.0010164897221595522,NEWS_REACTION,1,0.72,1,1,0,0,0,1,1,4,0.5714285714285714,75.80645161290307,0.03541903959122831
d1461d49,ETH,LONG,2026-04-16T15:54:18.271129+00:00,2338.32,2.3159999999998035,0.0008253789045125715,NEWS_REACTION,1,0.65,1,1,0,1,1,0,1,5,0.7142857142857143,43.93530997304598,0.03541903959122831
901c23a0,AVAX,LONG,2026-04-16T17:46:17.548162+00:00,9.53,58.71941215,0.022154556908861856,TARGET_HIT,1,0.7,1,1,0,1,1,1,1,6,0.8571428571428571,52.49999999999995,0.02758575314775944
ac6b4c78,LTC,LONG,2026-04-16T20:19:54.542482+00:00,56.24,-19.5209775,-0.006223328591749669,STOP_LOSS,0,0.66,1,1,0,0,1,0,0,3,0.42857142857142855,53.09446254071657,0.03879776236546622
3372e736,NEAR,SHORT,2026-04-17T02:18:43.701250+00:00,1.4081,18.972599999999954,0.007314821390526224,TIME_EXIT,1,0.65,0,0,1,1,0,1,0,3,0.42857142857142855,20.000000000000043,0.03799939304131876
